movie_id,rank,movie_title,release_date,distributor,genre,gross_2024,tickets_sold,release_year
0,1,Inside Out 2,2024/06/14,Walt Disney,Adventure,652980194.0,57734765.0,2024
1,2,Deadpool & Wolverine,2024/07/26,Walt Disney,Action,636745858.0,56299369.0,2024
2,3,Wicked,2024/11/22,Universal,Musical,432943285.0,38279689.0,2024
3,4,Moana 2,2024/11/27,Walt Disney,Musical,404017489.0,35722148.0,2024
4,5,Despicable Me 4,2024/07/03,Universal,Adventure,361004205.0,31919028.0,2024
5,6,Beetlejuice Beetlejuice,2024/09/06,Warner Bros.,Comedy,294100435.0,26003575.0,2024
6,7,Dune: Part Two,2024/03/01,Warner Bros.,Action,282709065.0,24996381.0,2024
7,8,Twisters,2024/07/19,Universal,Thriller/Suspense,267762265.0,23674824.0,2024
8,9,Godzilla x Kong: The New Em…,2024/03/29,Warner Bros.,Action,196805338.0,17401002.0,2024
9,10,Kung Fu Panda 4,2024/03/08,Universal,Comedy,193590620.0,17116766.0,2024
10,11,Bad Boys: Ride or Die,2024/06/07,Sony Pictures,Action,193573217.0,17115227.0,2024
11,12,Kingdom of the Planet of th…,2024/05/10,20th Century Studios,Action,171130165.0,15130872.0,2024
12,13,Gladiator II,2024/11/22,Paramount Pictures,Action,164554921.0,14549507.0,2024
13,14,Sonic the Hedgehog 3,2024/12/20,Paramount Pictures,Adventure,151558894.0,13400433.0,2024
14,15,It Ends With Us,2024/08/09,Sony Pictures,Drama,148518266.0,13131589.0,2024
15,16,The Wild Robot,2024/09/27,Universal,Adventure,143190445.0,12660517.0,2024
16,17,Venom: The Last Dance,2024/10/25,Sony Pictures,Action,139733580.0,12354870.0,2024
17,18,A Quiet Place: Day One,2024/06/28,Paramount Pictures,Horror,139051884.0,12294596.0,2024
18,19,Mufasa: The Lion King,2024/12/20,Walt Disney,Musical,128143945.0,11330145.0,2024
19,20,Ghostbusters: Frozen Empire,2024/03/22,Sony Pictures,Comedy,113376590.0,10024455.0,2024
20,21,IF,2024/05/17,Paramount Pictures,Comedy,111375918.0,9847561.0,2024
21,22,Alien: Romulus,2024/08/16,20th Century Studios,Horror,105313091.0,9311502.0,2024
22,23,Bob Marley: One Love,2024/02/14,Paramount Pictures,Drama,96981216.0,8574820.0,2024
23,24,Red One,2024/11/15,Amazon MGM Studios,Action,96805881.0,8559318.0,2024
24,25,The Fall Guy,2024/05/03,Universal,Action,92900355.0,8214001.0,2024
25,26,The Garfield Movie,2024/05/24,Sony Pictures,Adventure,91956547.0,8130552.0,2024
26,27,Wonka,2023/12/15,Warner Bros.,Musical,85451913.0,7555430.0,2023
27,28,Longlegs,2024/07/12,Neon,Horror,74346140.0,6573487.0,2024
28,29,Migration,2023/12/22,Universal,Adventure,73526925.0,6501054.0,2023
29,30,Mean Girls,2024/01/12,Paramount Pictures,Musical,72581770.0,6417486.0,2024
30,31,Smile 2,2024/10/18,Paramount Pictures,Horror,69012586.0,6101909.0,2024
31,32,Civil War,2024/04/12,A24,Action,68757539.0,6079358.0,2024
32,33,Furiosa: A Mad Max Saga,2024/05/24,Warner Bros.,Action,67587546.0,5975910.0,2024
33,34,The Beekeeper,2024/01/12,Amazon MGM Studios,Action,66220535.0,5855043.0,2024
34,35,Anyone But You,2023/12/22,Sony Pictures,Romantic Comedy,63482283.0,5612934.0,2023
35,36,Transformers One,2024/09/20,Paramount Pictures,Adventure,59098421.0,5225325.0,2024
36,37,Joker: Folie à Deux,2024/10/04,Warner Bros.,Thriller/Suspense,58300287.0,5154756.0,2024
37,38,Terrifier 3,2024/10/11,Iconic/Cineverse,Horror,53981071.0,4772862.0,2024
38,39,Challengers,2024/04/26,Amazon MGM Studios,Drama,50119408.0,4431424.0,2024
39,40,Nosferatu,2024/12/25,Focus Features,Horror,48120015.0,4254643.0,2024
40,41,Aquaman and the Lost Kingdom,2023/12/22,Warner Bros.,Action,48011513.0,4245050.0,2023
41,42,Argylle,2024/02/02,Universal,Action,45207275.0,3997107.0,2024
42,43,Madame Web,2024/02/14,Sony Pictures,Action,43817106.0,3874192.0,2024
43,44,Trap,2024/08/02,Warner Bros.,Thriller/Suspense,42777281.0,3782253.0,2024
44,45,The Best Christmas Pageant …,2024/11/08,Lionsgate,Comedy,39802723.0,3519250.0,2024
45,46,Speak No Evil,2024/09/13,Universal,Horror,36931420.0,3265378.0,2024
46,47,The Strangers: Chapter 1,2024/05/17,Lionsgate,Horror,35202562.0,3112517.0,2024
47,48,Coraline,2009/02/06,Fathom Events,Adventure,33626425.0,2973159.0,2009
48,49,Night Swim,2024/01/05,Universal,Horror,32494740.0,2873098.0,2024
49,50,Conclave,2024/10/25,Focus Features,Thriller/Suspense,31289705.0,2766552.0,2024
50,51,The Boys in the Boat,2023/12/25,Amazon MGM Studios,Drama,30642834.0,2709358.0,2023
51,52,Reagan,2024/08/30,ShowBiz Direct,Drama,29397140.0,2599217.0,2024
52,53,The Forge,2024/08/23,Sony Pictures,Drama,29123632.0,2575034.0,2024
53,54,Horizon: An American Saga C…,2024/06/28,Warner Bros.,Western,29035702.0,2567259.0,2024
54,55,A Complete Unknown,2024/12/25,Searchlight Pictures,Drama,28501840.0,2520057.0,2024
55,56,Imaginary,2024/03/08,Lionsgate,Horror,28009161.0,2476495.0,2024
56,57,Heretic,2024/11/08,A24,Horror,27716205.0,2450593.0,2024
57,58,Abigail,2024/04/19,Universal,Horror,25867515.0,2287137.0,2024
58,59,Monkey Man,2024/04/05,Universal,Thriller/Suspense,25116955.0,2220774.0,2024
59,60,Arthur the King,2024/03/15,Lionsgate,Adventure,25049006.0,2214766.0,2024
60,61,We Live in Time,2024/10/11,A24,Drama,24690031.0,2183027.0,2024
61,62,Poor Things,2023/12/08,Searchlight Pictures,Black Comedy,24257189.0,2144756.0,2023
62,63,Blink Twice,2024/08/23,Amazon MGM Studios,Thriller/Suspense,23093906.0,2041902.0,2024
63,64,Kraven the Hunter,2024/12/13,Sony Pictures,Action,21915474.0,1937708.0,2024
64,65,The Bikeriders,2024/06/21,Focus Features,Drama,21746895.0,1922802.0,2024
65,66,The Ministry of Ungentleman…,2024/04/19,Lionsgate,Action,20535053.0,1815655.0,2024
66,67,Fly Me to the Moon,2024/07/12,Sony Pictures,Romantic Comedy,20532222.0,1815404.0,2024
67,68,Unsung Hero,2024/04/26,Lionsgate,Drama,20335239.0,1797988.0,2024
68,69,The First Omen,2024/04/05,20th Century Studios,Horror,20092802.0,1776552.0,2024
69,70,The Iron Claw,2023/12/22,A24,Drama,19646906.0,1737127.0,2023
70,71,Cabrini,2024/03/08,Angel Studios,Drama,19512135.0,1725211.0,2024
71,72,American Fiction,2023/12/15,Amazon MGM Studios,Comedy,19442987.0,1719097.0,2023
72,73,Ordinary Angels,2024/02/23,Lionsgate,Drama,19174421.0,1695351.0,2024
73,74,The Watchers,2024/06/07,Warner Bros.,Horror,19164028.0,1694432.0,2024
74,75,Tarot,2024/05/03,Sony Pictures,Horror,18771004.0,1659682.0,2024
75,76,Kalki 2898-AD,2024/06/27,Prathyangira Cine…,Action,18289575.0,1617115.0,2024
76,77,Demon Slayer: Kimetsu no Ya…,2024/02/23,Crunchyroll,Action,17657658.0,1561243.0,2024
77,78,Harold and the Purple Crayon,2024/08/02,Sony Pictures,Adventure,17640924.0,1559763.0,2024
78,79,The Color Purple,2023/12/25,Warner Bros.,Musical,16571549.0,1465212.0,2023
79,80,The Substance,2024/09/20,MUBI,Horror,16447054.0,1454205.0,2024
80,81,Immaculate,2024/03/22,Neon,Horror,15671306.0,1385615.0,2024
81,82,Borderlands,2024/08/09,Lionsgate,Action,15482668.0,1368936.0,2024
82,83,Interstellar,2014/11/07,Paramount Pictures,Adventure,15207563.0,1344612.0,2014
83,84,MaXXXine,2024/07/05,A24,Horror,15097633.0,1334892.0,2024
84,85,The Chosen: Season 4 Episod…,2024/02/01,Fathom Events,Drama,14409169.0,1274020.0,2024
85,86,Anora,2024/10/18,Neon,Comedy,14146804.0,1250823.0,2024
86,87,Homestead,2024/12/20,Angel Studios,Drama,13988821.0,1236854.0,2024
87,88,Star Wars Ep. I: The Phanto…,1999/05/19,20th Century Studios,Adventure,13029994.0,1152077.0,1999
88,89,Pushpa: The Rule — Part 2,2024/12/05,Prathyangira Cine…,Action,13000000.0,1149425.0,2024
89,90,Am I Racist?,2024/09/13,SDG Releasing,Documentary,12311598.0,1088559.0,2024
90,91,Here,2024/11/01,Sony Pictures,Drama,12237270.0,1081987.0,2024
91,92,Bonhoeffer: Pastor. Spy. As…,2024/11/22,Angel Studios,Thriller/Suspense,12121045.0,1071710.0,2024
92,93,Sound of Hope: The Story of…,2024/07/04,Angel Studios,Drama,11647099.0,1029805.0,2024
93,94,Godzilla Minus One,2023/12/01,Toho International,Action,11564257.0,1022481.0,2023
94,95,The Boy and the Heron,2023/12/08,GKIDS,Adventure,10986312.0,971380.0,2023
95,96,Never Let Go,2024/09/20,Lionsgate,Horror,10306106.0,911238.0,2024
96,97,Late Night with the Devil,2024/03/22,IFC Films,Horror,10001000.0,884262.0,2024
97,98,Lisa Frankenstein,2024/02/09,Focus Features,Comedy,9774285.0,864216.0,2024
98,99,Piece by Piece,2024/10/11,Focus Features,Documentary,9756635.0,862656.0,2024
99,100,Saturday Night,2024/10/11,Sony Pictures,Comedy,9511315.0,840965.0,2024
100,101,The Chosen: Season 4 Episod…,2024/02/15,Fathom Events,Drama,9482744.0,838439.0,2024
101,102,The Crow,2024/08/23,Lionsgate,Action,9275659.0,820129.0,2024
102,103,Babygirl,2024/12/25,A24,Thriller/Suspense,9186495.0,812245.0,2024
103,104,Thelma,2024/06/21,Magnolia Pictures,Action,9002073.0,795939.0,2024
104,105,The Lord of the Rings: The …,2024/12/13,Warner Bros.,Adventure,8755502.0,774138.0,2024
105,106,The Zone of Interest,2023/12/15,A24,Drama,8112670.0,717301.0,2023
106,107,Spy x Family Code: White,2024/04/19,Crunchyroll,Action,8110042.0,717068.0,2024
107,108,Love Lies Bleeding,2024/03/08,A24,Thriller/Suspense,7830385.0,692342.0,2024
108,109,Ferrari,2023/12/25,Neon,Drama,7771550.0,687140.0,2023
109,110,The Chosen: Season 4 Episod…,2024/02/29,Fathom Events,Drama,7729064.0,683383.0,2024
110,111,A Real Pain,2024/11/01,Searchlight Pictures,Comedy,7676866.0,678768.0,2024
